BUKU 1,,,,,,,,,,,,,
,,,,,,,,,,,,,
Bab,Nota Perubahan,Kalimah Asal (Arab),Jamak/Mufrad,Terjemahan (BM),Terjemahan (BI),Nota BM,Nota English,Nota Nahu (Arab),Nota Nahu (BM),Nota Nahu (English),Nota Sarf (Arab),Nota Sarf (BM),Nota Sarf (English)
21,Kedudukan hamzah diperincikan sebagai mahmuz al-‘ain kerana akar katanya س أ ل.,تَسَاءَلَ,يَتَسَاءَلُ,Saling bertanya,To ask each other,,,فعل ماض، مبني على الفتح في صورته الأصلية، ويتغير بناؤه بحسب ما يتصل به,Fi‘il madi. Pada bentuk asalnya ia mabni atas fathah; tanda binaannya boleh berubah apabila bersambung dengan dhamir.,"Past-tense verb, normally built on fatḥ in its basic form; its building sign may change with attached pronouns.",فعل مزيد على وزن تفاعل، ومصدره تَسَاؤُلٌ,Fi‘il mazid pada pola تفاعل (Form VI). Masdarnya ialah تَسَاؤُلٌ.,Derived Form VI verb on the pattern تفاعل. Its verbal noun is تَسَاؤُلٌ.
21,Bentuk تَشَاءَبَ dan makna “bersedih” perlu dibandingkan semula dengan cetakan asal; bentuk ini tidak lazim dalam penggunaan standard.,تَشَاءَبَ,يَتَشَاءَبُ,Bersedih/Menjadi sedih,To become sad/to grieve,,,فعل ماض، مبني على الفتح في صورته الأصلية، ويتغير بناؤه بحسب ما يتصل به,Fi‘il madi. Pada bentuk asalnya ia mabni atas fathah; tanda binaannya boleh berubah apabila bersambung dengan dhamir.,"Past-tense verb, normally built on fatḥ in its basic form; its building sign may change with attached pronouns.",فعل مزيد على وزن تفاعل، ومصدره تَشَاؤُبٌ,Fi‘il mazid pada pola تفاعل (Form VI). Masdarnya ialah تَشَاؤُبٌ.,Derived Form VI verb on the pattern تفاعل. Its verbal noun is تَشَاؤُبٌ.
21,Analisis diperincikan sebagai mahmuz al-‘ain kerana akar katanya ش أ م.,تَشَاءَمَ,يَتَشَاءَمُ,Berasa pesimis/Malang,To be pessimistic,,,فعل ماض، مبني على الفتح في صورته الأصلية، ويتغير بناؤه بحسب ما يتصل به,Fi‘il madi. Pada bentuk asalnya ia mabni atas fathah; tanda binaannya boleh berubah apabila bersambung dengan dhamir.,"Past-tense verb, normally built on fatḥ in its basic form; its building sign may change with attached pronouns.",فعل مزيد على وزن تفاعل، ومصدره تَشَاؤُمٌ,Fi‘il mazid pada pola تفاعل (Form VI). Masdarnya ialah تَشَاؤُمٌ.,Derived Form VI verb on the pattern تفاعل. Its verbal noun is تَشَاؤُمٌ.
21,Analisis diperincikan sebagai mahmuz al-‘ain kerana akar katanya ف أ ل.,تَفَاءَلَ,يَتَفَاءَلُ,Berasa optimis/Bernasib baik,To be optimistic,,,فعل ماض، مبني على الفتح في صورته الأصلية، ويتغير بناؤه بحسب ما يتصل به,Fi‘il madi. Pada bentuk asalnya ia mabni atas fathah; tanda binaannya boleh berubah apabila bersambung dengan dhamir.,"Past-tense verb, normally built on fatḥ in its basic form; its building sign may change with attached pronouns.",فعل مزيد على وزن تفاعل، ومصدره تَفَاؤُلٌ,Fi‘il mazid pada pola تفاعل (Form VI). Masdarnya ialah تَفَاؤُلٌ.,Derived Form VI verb on the pattern تفاعل. Its verbal noun is تَفَاؤُلٌ.
21,"Harakat dinormalkan kepada تَنَاوَلَ. Akar ن و ل ialah ajwaf wawi, bukan mithal.",تَنَاوَلَ,يَتَنَاوَلُ,Mengambil/Mencapai,To take/to reach,,,فعل ماض، مبني على الفتح في صورته الأصلية، ويتغير بناؤه بحسب ما يتصل به,Fi‘il madi. Pada bentuk asalnya ia mabni atas fathah; tanda binaannya boleh berubah apabila bersambung dengan dhamir.,"Past-tense verb, normally built on fatḥ in its basic form; its building sign may change with attached pronouns.",فعل مزيد على وزن تفاعل، ومصدره تَنَاوُلٌ,Fi‘il mazid pada pola تفاعل (Form VI). Masdarnya ialah تَنَاوُلٌ.,Derived Form VI verb on the pattern تفاعل. Its verbal noun is تَنَاوُلٌ.
21,Analisis sarf diperincikan sebagai ajwaf wawi daripada akar ع و ن.,تَعَاوَنَ,يَتَعَاوَنُ,Bekerjasama/Saling membantu,To cooperate/to help each other,,,فعل ماض، مبني على الفتح في صورته الأصلية، ويتغير بناؤه بحسب ما يتصل به,Fi‘il madi. Pada bentuk asalnya ia mabni atas fathah; tanda binaannya boleh berubah apabila bersambung dengan dhamir.,"Past-tense verb, normally built on fatḥ in its basic form; its building sign may change with attached pronouns.",فعل مزيد على وزن تفاعل، ومصدره تَعَاوُنٌ,Fi‘il mazid pada pola تفاعل (Form VI). Masdarnya ialah تَعَاوُنٌ.,Derived Form VI verb on the pattern تفاعل. Its verbal noun is تَعَاوُنٌ.
21,Harakat dinormalkan kepada تَنَاوَمَ dan analisis diperincikan sebagai ajwaf wawi daripada akar ن و م.,تَنَاوَمَ,يَتَنَاوَمُ,Berpura-pura tidur,To pretend to sleep,,,فعل ماض، مبني على الفتح في صورته الأصلية، ويتغير بناؤه بحسب ما يتصل به,Fi‘il madi. Pada bentuk asalnya ia mabni atas fathah; tanda binaannya boleh berubah apabila bersambung dengan dhamir.,"Past-tense verb, normally built on fatḥ in its basic form; its building sign may change with attached pronouns.",فعل مزيد على وزن تفاعل، ومصدره تَنَاوُمٌ,Fi‘il mazid pada pola تفاعل (Form VI). Masdarnya ialah تَنَاوُمٌ.,Derived Form VI verb on the pattern تفاعل. Its verbal noun is تَنَاوُمٌ.
21,,تَعَالَى,يَتَعَالَى,Maha Tinggi,To be exalted/sublime,,,فعل ماض، مبني على الفتح في صورته الأصلية، ويتغير بناؤه بحسب ما يتصل به,Fi‘il madi. Pada bentuk asalnya ia mabni atas fathah; tanda binaannya boleh berubah apabila bersambung dengan dhamir.,"Past-tense verb, normally built on fatḥ in its basic form; its building sign may change with attached pronouns.",فعل مزيد على وزن تفاعل، ومصدره تَعَالٍ,Fi‘il mazid pada pola تفاعل (Form VI). Masdarnya ialah تَعَالٍ.,Derived Form VI verb on the pattern تفاعل. Its verbal noun is تَعَالٍ.
21,,تَبَاكَى,يَتَبَاكَى,Berpura-pura menangis,To pretend to cry,,,فعل ماض، مبني على الفتح في صورته الأصلية، ويتغير بناؤه بحسب ما يتصل به,Fi‘il madi. Pada bentuk asalnya ia mabni atas fathah; tanda binaannya boleh berubah apabila bersambung dengan dhamir.,"Past-tense verb, normally built on fatḥ in its basic form; its building sign may change with attached pronouns.",فعل مزيد على وزن تفاعل، ومصدره تَبَاكٍ,Fi‘il mazid pada pola تفاعل (Form VI). Masdarnya ialah تَبَاكٍ.,Derived Form VI verb on the pattern تفاعل. Its verbal noun is تَبَاكٍ.
21,,تَعَامَى,يَتَعَامَى,Berpura-pura buta,To pretend to be blind,,,فعل ماض، مبني على الفتح في صورته الأصلية، ويتغير بناؤه بحسب ما يتصل به,Fi‘il madi. Pada bentuk asalnya ia mabni atas fathah; tanda binaannya boleh berubah apabila bersambung dengan dhamir.,"Past-tense verb, normally built on fatḥ in its basic form; its building sign may change with attached pronouns.",فعل مزيد على وزن تفاعل، ومصدره تَعَامٍ,Fi‘il mazid pada pola تفاعل (Form VI). Masdarnya ialah تَعَامٍ.,Derived Form VI verb on the pattern تفاعل. Its verbal noun is تَعَامٍ.
21,Bentuk kepala entri dibetulkan daripada تَنابَرُ kepada fi‘il madi تَنَابَرَ agar selaras dengan mudari‘ يَتَنَابَرُ dan masdar تَنَابُرٌ.,تَنَابَرَ,يَتَنَابَرُ,Berselisih/Berbantah,To dispute/to contend,,,فعل ماض، مبني على الفتح في صورته الأصلية، ويتغير بناؤه بحسب ما يتصل به,Fi‘il madi. Pada bentuk asalnya ia mabni atas fathah; tanda binaannya boleh berubah apabila bersambung dengan dhamir.,"Past-tense verb, normally built on fatḥ in its basic form; its building sign may change with attached pronouns.",فعل مزيد على وزن تفاعل، ومصدره تَنَابُرٌ,Fi‘il mazid pada pola تفاعل (Form VI). Masdarnya ialah تَنَابُرٌ.,Derived Form VI verb on the pattern تفاعل. Its verbal noun is تَنَابُرٌ.
21,,مُتَشَائِمٌ,,Orang pesimis,Pessimist,,,اسم فاعل، اسم مشتق معرب، ويعمل عمل فعله بشروطه,"Isim fa‘il, iaitu kata nama terbitan yang mu‘rab. Dalam keadaan tertentu ia boleh beramal seperti fi‘ilnya.","Active participle, a declinable derived noun that may govern like its verb under the relevant conditions.",اسم فاعل مشتق من الفعل,Isim fa‘il yang diterbitkan daripada fi‘il.,Active participle derived from a verb.
21,,مُتَفَائِلٌ,,Orang optimis,Optimist,,,اسم فاعل، اسم مشتق معرب، ويعمل عمل فعله بشروطه,"Isim fa‘il, iaitu kata nama terbitan yang mu‘rab. Dalam keadaan tertentu ia boleh beramal seperti fi‘ilnya.","Active participle, a declinable derived noun that may govern like its verb under the relevant conditions.",اسم فاعل مشتق من الفعل,Isim fa‘il yang diterbitkan daripada fi‘il.,Active participle derived from a verb.
21,,مُتَعَارِضٌ,,Bertentangan/Berlawanan,Contradictory/Opposing,,,اسم فاعل، اسم مشتق معرب، ويعمل عمل فعله بشروطه,"Isim fa‘il, iaitu kata nama terbitan yang mu‘rab. Dalam keadaan tertentu ia boleh beramal seperti fi‘ilnya.","Active participle, a declinable derived noun that may govern like its verb under the relevant conditions.",اسم فاعل مشتق من الفعل,Isim fa‘il yang diterbitkan daripada fi‘il.,Active participle derived from a verb.
21,Bentuk تَشَاحُرٌ perlu disemak dengan teks asal; kemungkinan terdapat kesalahan salinan atau ejaan.,تَشَاحُرٌ,,Pertengkaran/Pergaduhan,Quarreling/Dispute,,,مصدر، اسم معرب يدل على الحدث مجردًا من الزمان,Masdar yang berfungsi sebagai kata nama mu‘rab dan menunjukkan perbuatan atau keadaan tanpa masa.,"Verbal noun, a declinable noun denoting an action or state without tense.",مصدر,Masdar.,Verbal noun.
21,,تَنَابُرٌ,,Perselisihan/Perbantahan,Disputation/Contention,,,مصدر، اسم معرب يدل على الحدث مجردًا من الزمان,Masdar yang berfungsi sebagai kata nama mu‘rab dan menunjukkan perbuatan atau keadaan tanpa masa.,"Verbal noun, a declinable noun denoting an action or state without tense.",مصدر,Masdar.,Verbal noun.
21,,تَنَاوُلُ,,Pengambilan/Pencapaian,Taking/Reaching,,,مصدر، اسم معرب يدل على الحدث مجردًا من الزمان,Masdar yang berfungsi sebagai kata nama mu‘rab dan menunjukkan perbuatan atau keadaan tanpa masa.,"Verbal noun, a declinable noun denoting an action or state without tense.",مصدر,Masdar.,Verbal noun.
21,,مُتَنَاوَلٌ,,Yang diambil/Dicapai,What is taken/reached,,,اسم مفعول، اسم مشتق معرب، ويدل على من وقع عليه الفعل,"Isim maf‘ul, iaitu kata nama terbitan yang menunjukkan sesuatu yang dikenakan perbuatan.","Passive participle, a declinable derived noun denoting that which receives the action.",اسم مفعول مشتق من الفعل,Isim maf‘ul yang diterbitkan daripada fi‘il.,Passive participle derived from a verb.
21,"Klasifikasi dibetulkan: لَيْتَ ialah huruf tamanni dan salah satu daripada أخوات إنّ, bukan huruf tasybih.",لَيْتَ,,Kalaulah.../Semoga...,I wish.../Hopefully...,Digunakan untuk menyatakan angan-angan atau harapan terhadap sesuatu yang sukar atau mustahil berlaku.,"Used to express a wish, often concerning something difficult or impossible.",حرف تمنٍّ ونصب من أخوات «إنّ»، ينصب الاسم ويرفع الخبر,Huruf tamanni daripada kelompok أخوات إنّ. Ia menasabkan isim dan merafakkan khabar.,A particle of wishing from the sisters of إنّ; it makes its noun accusative and its predicate nominative.,,,
21,Terjemahan dibetulkan kerana إِيَّا bukan bermaksud “hanya”; ia ialah asas dhamir objek terpisah seperti إِيَّاكَ.,إِيَّا,إِيَّاكَ (engkau),Dhamir objek terpisah,Detached object-pronoun base,,,ضمير منفصل مبني في محل نصب، ولا يستقل غالبًا من غير لاحقة الضمير,Dhamir munfasil yang mabni dan berada pada محل نصب. Bentuk إِيَّا lazimnya hadir bersama akhiran dhamir.,"Detached pronoun base, indeclinable and syntactically accusative; إِيَّا normally occurs with a pronominal suffix.",,,
21,,(لَا) النَّافِيَةُ لِلْجِنْسِ,,Tidak sama sekali,Absolute negation (Harf),Menafikan seluruh jenis atau kategori secara menyeluruh.,Negates an entire class or category absolutely.,حرف نفي للجنس يعمل عمل «إنّ»، ينصب الاسم ويرفع الخبر بشروطه,Huruf nafi li al-jins yang beramal seperti إِنَّ: isimnya mansub dan khabarnya marfu‘ apabila syaratnya dipenuhi.,A particle of absolute generic negation operating like إنّ: its noun is accusative and its predicate nominative when its conditions are met.,,,
21,,طَوَالٌ,,Panjang/Sepanjang,Long/Throughout,"Apabila bermaksud “sepanjang”, ia lazim digunakan dalam bentuk mansub طَوَالَ sebagai zharaf.","When meaning “throughout”, it is commonly used in the accusative form طَوَالَ as an adverb.",اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,,,
21,Syaddah dan tanwin ditambahkan: بُدٌّ. Kalimah ini lazim digunakan dalam frasa لَا بُدَّ.,بُدٌّ,,Kemestian/Perlu,Necessity/Need,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,,,
21,,فِكْرَةٌ,فِكَرٌ,Idea/Pemikiran,Idea/Thought,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,جمعه جمع تكسير: فِكَرٌ,Bentuk jamaknya ialah jamak taksir: فِكَرٌ.,Its plural is the broken plural فِكَرٌ.
21,,فُطُورٌ,,Sarapan,Breakfast,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,,,
21,,تَعَبٌ,,Keletihan/Kepayahan,Tiredness/Hardship,,,مصدر، اسم معرب يدل على الحدث مجردًا من الزمان,Masdar yang berfungsi sebagai kata nama mu‘rab dan menunjukkan perbuatan atau keadaan tanpa masa.,"Verbal noun, a declinable noun denoting an action or state without tense.",مصدر,Masdar.,Verbal noun.
21,Entri asal tidak sepadan dengan jamak مَلَايِينُ. Ia dibetulkan kepada مِلْيُونٌ dengan makna “juta”.,مِلْيُونٌ,"مَلَايِينُ (J. Taksir, Mamnu' Min Sarf)",Juta,Million,,,اسم عدد، معرب,Kata nama bilangan yang bersifat mu‘rab.,Declinable numeral noun.,جمعه جمع تكسير: مَلَايِينُ، وهو ممنوع من الصرف,"Jamaknya ialah مَلَايِينُ, iaitu jamak taksir yang mamnu‘ min al-sarf.",Its plural is the diptote broken plural مَلَايِينُ.
21,,كُنْيَةٌ,كُنَى,Gelaran/Julukan,Nickname/Appellation,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,جمعه جمع تكسير: كُنًى، وهو اسم مقصور في الجمع,Jamaknya ialah كُنًى. Bentuk jamak tersebut ialah isim maqsur.,"Its plural is كُنًى, a maqṣūr plural form."
21,,أَعْوَرُ,عُوْرٌ,Buta sebelah mata,One-eyed,,,صفة على وزن «أَفْعَل»، ممنوعة من الصرف للوصفية ووزن الفعل,Kata sifat pada wazan أَفْعَل dan mamnu‘ min al-sarf kerana sifat serta mengikuti wazan fi‘il.,Adjective on the pattern أَفْعَل and diptote because it is adjectival and follows a verbal pattern.,له صيغة مقابلة أو جمع مذكور في البيانات: عُوْرٌ,Bentuk pasangan atau jamak yang dinyatakan ialah عُوْرٌ.,The listed corresponding or plural form is عُوْرٌ.
21,,أَعْرَجُ,عُرْجٌ,Tempang/Pincang,Lame/Crippled,,,صفة على وزن «أَفْعَل»، ممنوعة من الصرف للوصفية ووزن الفعل,Kata sifat pada wazan أَفْعَل dan mamnu‘ min al-sarf kerana sifat serta mengikuti wazan fi‘il.,Adjective on the pattern أَفْعَل and diptote because it is adjectival and follows a verbal pattern.,له صيغة مقابلة أو جمع مذكور في البيانات: عُرْجٌ,Bentuk pasangan atau jamak yang dinyatakan ialah عُرْجٌ.,The listed corresponding or plural form is عُرْجٌ.
21,,طَرِيقَةٌ,طُرُقٌ,Cara/Kaedah/Jalan,Way/Method/Road,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,له صيغة مقابلة أو جمع مذكور في البيانات: طُرُقٌ,Bentuk pasangan atau jamak yang dinyatakan ialah طُرُقٌ.,The listed corresponding or plural form is طُرُقٌ.
21,Tanwin ditambahkan pada bentuk nakirah: رَيْبٌ.,رَيْبٌ,,Keraguan,Doubt,,,مصدر، اسم معرب يدل على الحدث مجردًا من الزمان,Masdar yang berfungsi sebagai kata nama mu‘rab dan menunjukkan perbuatan atau keadaan tanpa masa.,"Verbal noun, a declinable noun denoting an action or state without tense.",مصدر,Masdar.,Verbal noun.
21,,غَدَاةٌ,,Pagi,Morning,"Merujuk kepada waktu pagi, khususnya awal pagi.","Refers to morning, especially the early part of the day.",اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,,,
21,,مَثِيلٌ,,Contoh/Sama/Serupa,Example/Similar,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,,,
21,Bentuk زِنِي tidak sepadan dengan terjemahan kata nama “zina”. Sila semak sama ada teks asal ialah زِنًى atau bentuk lain.,زِنِي,,Perbuatan zina,Adultery/Fornication,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,,,
21,,الزِّنَى,,Zina,Adultery/Fornication,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,,,
21,,أَبْكَمُ,بُكُمْ,Bisu (tidak boleh bercakap),Mute,,,صفة على وزن «أَفْعَل»، ممنوعة من الصرف للوصفية ووزن الفعل,Kata sifat pada wazan أَفْعَل dan mamnu‘ min al-sarf kerana sifat serta mengikuti wazan fi‘il.,Adjective on the pattern أَفْعَل and diptote because it is adjectival and follows a verbal pattern.,له صيغة مقابلة أو جمع مذكور في البيانات: بُكُمْ,Bentuk pasangan atau jamak yang dinyatakan ialah بُكُمْ.,The listed corresponding or plural form is بُكُمْ.
21,,أَخْرَسُ,خُرْسٌ,Bisu (tidak boleh bercakap),Mute,,,صفة على وزن «أَفْعَل»، ممنوعة من الصرف للوصفية ووزن الفعل,Kata sifat pada wazan أَفْعَل dan mamnu‘ min al-sarf kerana sifat serta mengikuti wazan fi‘il.,Adjective on the pattern أَفْعَل and diptote because it is adjectival and follows a verbal pattern.,له صيغة مقابلة أو جمع مذكور في البيانات: خُرْسٌ,Bentuk pasangan atau jamak yang dinyatakan ialah خُرْسٌ.,The listed corresponding or plural form is خُرْسٌ.
21,,أَعْمَى,عُمْيٌ,Buta,Blind,,,صفة على وزن «أَفْعَل»، ممنوعة من الصرف للوصفية ووزن الفعل,Kata sifat pada wazan أَفْعَل dan mamnu‘ min al-sarf kerana sifat serta mengikuti wazan fi‘il.,Adjective on the pattern أَفْعَل and diptote because it is adjectival and follows a verbal pattern.,له صيغة مقابلة أو جمع مذكور في البيانات: عُمْيٌ,Bentuk pasangan atau jamak yang dinyatakan ialah عُمْيٌ.,The listed corresponding or plural form is عُمْيٌ.
21,,أَحْوَرُ,حُورٌ,Mata hitam pekat,Having intense black eyes,,,صفة على وزن «أَفْعَل»، ممنوعة من الصرف للوصفية ووزن الفعل,Kata sifat pada wazan أَفْعَل dan mamnu‘ min al-sarf kerana sifat serta mengikuti wazan fi‘il.,Adjective on the pattern أَفْعَل and diptote because it is adjectival and follows a verbal pattern.,له صيغة مقابلة أو جمع مذكور في البيانات: حُورٌ,Bentuk pasangan atau jamak yang dinyatakan ialah حُورٌ.,The listed corresponding or plural form is حُورٌ.
21,,أَحْوَلُ,حُولٌ,Juling,Cross-eyed,,,صفة على وزن «أَفْعَل»، ممنوعة من الصرف للوصفية ووزن الفعل,Kata sifat pada wazan أَفْعَل dan mamnu‘ min al-sarf kerana sifat serta mengikuti wazan fi‘il.,Adjective on the pattern أَفْعَل and diptote because it is adjectival and follows a verbal pattern.,له صيغة مقابلة أو جمع مذكور في البيانات: حُولٌ,Bentuk pasangan atau jamak yang dinyatakan ialah حُولٌ.,The listed corresponding or plural form is حُولٌ.
21,,أَصَمُّ,صُمٌّ,Pekak/Tuli,Deaf,,,صفة معربة تتبع الموصوف في الإعراب والتعريف والتنكير والتذكير والتأنيث والعدد,"Kata sifat yang mu‘rab dan mengikuti kata nama yang diterangkan dari segi i‘rab, ketentuan, jantina dan bilangan.","Declinable adjective agreeing with its noun in case, definiteness, gender and number.",له صيغة مقابلة أو جمع مذكور في البيانات: صُمٌّ,Bentuk pasangan atau jamak yang dinyatakan ialah صُمٌّ.,The listed corresponding or plural form is صُمٌّ.
21,,أَعْيَنُ,عِينٌ,Mata besar/Luar biasa,Having large eyes,,,صفة على وزن «أَفْعَل»، ممنوعة من الصرف للوصفية ووزن الفعل,Kata sifat pada wazan أَفْعَل dan mamnu‘ min al-sarf kerana sifat serta mengikuti wazan fi‘il.,Adjective on the pattern أَفْعَل and diptote because it is adjectival and follows a verbal pattern.,له صيغة مقابلة أو جمع مذكور في البيانات: عِينٌ,Bentuk pasangan atau jamak yang dinyatakan ialah عِينٌ.,The listed corresponding or plural form is عِينٌ.
21,,مَشُورَةٌ,مَشَاوِرُ,Nasihat/Musyawarah,Advice/Consultation,,,مصدر، اسم معرب يدل على الحدث مجردًا من الزمان,Masdar yang berfungsi sebagai kata nama mu‘rab dan menunjukkan perbuatan atau keadaan tanpa masa.,"Verbal noun, a declinable noun denoting an action or state without tense.",مصدر,Masdar.,Verbal noun.
21,,وَمَشْوَرَةٌ,مَشَاوِرُ,Nasihat/Musyawarah (variasi),Advice/Consultation,,,مصدر، اسم معرب يدل على الحدث مجردًا من الزمان,Masdar yang berfungsi sebagai kata nama mu‘rab dan menunjukkan perbuatan atau keadaan tanpa masa.,"Verbal noun, a declinable noun denoting an action or state without tense.",مصدر,Masdar.,Verbal noun.
21,,إِثْمٌ,آثَامٌ,Dosa/Kesalahan,Sin/Guilt,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,له صيغة مقابلة أو جمع مذكور في البيانات: آثَامٌ,Bentuk pasangan atau jamak yang dinyatakan ialah آثَامٌ.,The listed corresponding or plural form is آثَامٌ.
21,Harakat akhir dibetulkan daripada fathah kepada tanwin dammah pada bentuk kamus: ضَرَرٌ.,ضَرَرٌ,,Kemudaratan/Bahaya,Harm/Damage,,,مصدر، اسم معرب يدل على الحدث مجردًا من الزمان,Masdar yang berfungsi sebagai kata nama mu‘rab dan menunjukkan perbuatan atau keadaan tanpa masa.,"Verbal noun, a declinable noun denoting an action or state without tense.",مصدر,Masdar.,Verbal noun.
21,,غُرْفَةٌ,غُرُفَاتٌ,Bilik,Room,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,له صيغة مقابلة أو جمع مذكور في البيانات: غُرُفَاتٌ,Bentuk pasangan atau jamak yang dinyatakan ialah غُرُفَاتٌ.,The listed corresponding or plural form is غُرُفَاتٌ.
21,,ظُلْمَةٌ,ظُلُمَاتٌ,Kegelapan,Darkness,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,له صيغة مقابلة أو جمع مذكور في البيانات: ظُلُمَاتٌ,Bentuk pasangan atau jamak yang dinyatakan ialah ظُلُمَاتٌ.,The listed corresponding or plural form is ظُلُمَاتٌ.
21,,شُرْفَةٌ,شُرُفَاتٌ,Beranda/Balkoni,Balcony/Veranda,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,له صيغة مقابلة أو جمع مذكور في البيانات: شُرُفَاتٌ,Bentuk pasangan atau jamak yang dinyatakan ialah شُرُفَاتٌ.,The listed corresponding or plural form is شُرُفَاتٌ.
21,,خُطْوَةٌ,خُطُوَاتٌ,Langkah,Step,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,له صيغة مقابلة أو جمع مذكور في البيانات: خُطُوَاتٌ,Bentuk pasangan atau jamak yang dinyatakan ialah خُطُوَاتٌ.,The listed corresponding or plural form is خُطُوَاتٌ.
21,Dammah akhir ditambahkan pada bentuk mudari‘ marfu‘: أَنَامُ.,أَنَامُ,نَامَ,Tidur (saya tidur),I sleep (Muḍāri'),,,فعل مضارع، معرب، مرفوع ما لم يسبقه ناصب أو جازم,Fi‘il mudari‘ yang mu‘rab. Ia marfu‘ selagi tidak didahului oleh huruf nasab atau jazam.,Present-tense verb and normally declinable; it is indicative unless preceded by a subjunctive or jussive governor.,فعل ثلاثي أو مزيد، وتفصيل وزنه مذكور بحسب الصيغة,Fi‘il; perincian pola sarfnya ditentukan berdasarkan bentuk yang disenaraikan.,Verb; its morphological pattern is determined from the listed form.
21,,أَيَّانَ,,Bila/Bila masa,When/Whenever,,,اسم استفهام مبني، ويعرب بحسب موقعه، ويستعمل للسؤال عن الزمان,Isim istifham yang mabni dan digunakan untuk bertanya tentang masa. Kedudukan i‘rabnya bergantung pada ayat.,Indeclinable interrogative noun used to ask about time; its syntactic position depends on the sentence.,,,
21,,مُرْسَى,,Tempat berlabuh,Anchorage/Port,,,اسم مكان مقصور، معرب بحركات مقدرة,Isim makan dan isim maqsur. I‘rabnya menggunakan harakat yang dianggarkan.,"Locative and maqṣūr noun, declinable with case vowels understood rather than visibly expressed.",اسم مشتق للدلالة على المكان أو الزمان,Kata nama terbitan yang menunjukkan tempat atau masa.,Derived noun denoting place or time.
21,,الْمُرْسَى,,Tempat berlabuh,The Anchorage/The Port,,,اسم مكان مقصور، معرب بحركات مقدرة,Isim makan dan isim maqsur. I‘rabnya menggunakan harakat yang dianggarkan.,"Locative and maqṣūr noun, declinable with case vowels understood rather than visibly expressed.",اسم مشتق للدلالة على المكان أو الزمان,Kata nama terbitan yang menunjukkan tempat atau masa.,Derived noun denoting place or time.
21,,أُسْلُوبٌ,أَسَالِيبُ,Gaya/Cara,Style/Manner,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,,,
21,Tanwin ditambahkan pada bentuk nakirah: حَادِثٌ.,حَادِثٌ,,Kemalangan/Peristiwa,Accident/Event,,,اسم، معرب,Kata nama yang bersifat mu‘rab.,Declinable noun.,,,
21,,قَضَى,يَقْضِي,Menghukum/Memutuskan,To judge/To decide,,,فعل ماض، مبني على الفتح في صورته الأصلية، ويتغير بناؤه بحسب ما يتصل به,Fi‘il madi. Pada bentuk asalnya ia mabni atas fathah; tanda binaannya boleh berubah apabila bersambung dengan dhamir.,"Past-tense verb, normally built on fatḥ in its basic form; its building sign may change with attached pronouns.",فعل ثلاثي أو مزيد، وتفصيل وزنه مذكور بحسب الصيغة، ومصدره قَضَاءٌ,Fi‘il; perincian pola sarfnya ditentukan berdasarkan bentuk yang disenaraikan. Masdarnya ialah قَضَاءٌ.,Verb; its morphological pattern is determined from the listed form. Its verbal noun is قَضَاءٌ.
21,,اسْتَغْفِرْ,يَسْتَغْفِرُ,Memohon ampun (Imperatif),To ask for forgiveness (Imperative),,,فعل أمر، مبني، وفاعله ضمير مستتر وجوبًا تقديره «أنت»,Fi‘il amar yang mabni. Fa‘ilnya ialah dhamir tersembunyi secara wajib dengan anggaran أَنْتَ.,Imperative verb and indeclinable; its subject is an obligatorily implicit pronoun understood as أَنْتَ.,صيغة الأمر من فعل مزيد، ومصدر فعله اِسْتِغْفَارٌ,Bentuk perintah daripada fi‘il mazid; masdarnya ialah اِسْتِغْفَارٌ.,Imperative form of a derived verb; its verbal noun is اِسْتِغْفَارٌ.
